task_id,issue_type,story_points,priority,team,current_stage,previous_stages_count,num_dependencies,entered_stage_date,next_stage_date,days_in_stage
T-0001,Feature,2,Medium,Team B,In Progress,2,1,2024-04-25,2024-05-03,7.8
T-0002,Spike,3,Medium,Team C,In Review,3,2,2024-02-20,2024-02-24,3.88
T-0003,Task,8,High,Team A,In Review,2,2,2024-06-29,2024-07-01,2.48
T-0004,Bug,5,Medium,Team B,Backlog,3,4,2024-01-04,2024-01-11,6.66
T-0005,Feature,8,Medium,Team B,Backlog,3,4,2024-03-19,2024-03-31,11.6
T-0006,Feature,5,High,Team C,In Progress,2,1,2024-01-17,2024-01-24,6.59
T-0007,Feature,5,Medium,Team C,In Progress,1,5,2024-04-17,2024-04-26,8.58
T-0008,Task,8,High,Team A,In Progress,3,0,2024-03-14,2024-03-19,5.13
T-0009,Bug,2,Low,Team B,In Progress,2,3,2024-06-23,2024-07-01,7.93
T-0010,Task,3,Medium,Team A,Backlog,0,0,2024-01-23,2024-01-26,2.77
T-0011,Feature,2,Low,Team B,Backlog,2,1,2024-01-18,2024-01-23,5.49
T-0012,Spike,13,Low,Team A,In Progress,0,1,2024-05-08,2024-05-24,15.99
T-0013,Task,8,High,Team A,In Progress,3,0,2024-02-04,2024-02-11,6.67
T-0014,Feature,1,Low,Team A,Backlog,2,3,2024-03-04,2024-03-12,7.72
T-0015,Feature,5,Medium,Team B,In Progress,2,0,2024-02-28,2024-03-07,7.55
T-0016,Feature,8,Medium,Team A,In Progress,0,4,2024-01-01,2024-01-11,10.14
T-0017,Feature,2,Medium,Team B,In Review,2,2,2024-05-10,2024-05-13,2.69
T-0018,Bug,3,High,Team B,In Review,2,5,2024-03-07,2024-03-10,2.72
T-0019,Bug,8,Low,Team A,In Progress,3,4,2024-02-06,2024-02-18,12.22
T-0020,Feature,1,Medium,Team C,Backlog,2,2,2024-01-29,2024-02-02,4.02
T-0021,Bug,5,Critical,Team A,In Progress,1,5,2024-03-29,2024-04-03,4.64
T-0022,Feature,2,Medium,Team B,Backlog,0,5,2024-06-09,2024-06-16,6.93
T-0023,Feature,8,High,Team B,In Progress,2,5,2024-04-09,2024-04-21,11.51
T-0024,Feature,13,Low,Team A,In Review,0,1,2024-05-01,2024-05-07,6.42
T-0025,Bug,8,Medium,Team A,In Progress,0,5,2024-03-30,2024-04-08,8.72
T-0026,Task,3,Medium,Team A,In Review,0,3,2024-05-11,2024-05-15,3.78
T-0027,Feature,8,High,Team C,In Progress,2,0,2024-01-14,2024-01-21,7.45
T-0028,Bug,8,Critical,Team B,Backlog,2,3,2024-06-09,2024-06-13,3.93
T-0029,Bug,2,Medium,Team B,In Review,0,0,2024-05-29,2024-06-01,3.05
T-0030,Feature,8,Medium,Team B,In Progress,1,4,2024-06-24,2024-07-07,12.51
T-0031,Bug,1,Low,Team A,In Progress,0,4,2024-05-10,2024-05-16,5.74
T-0032,Feature,3,Medium,Team B,In Progress,1,0,2024-03-25,2024-04-02,7.55
T-0033,Feature,2,Medium,Team C,Backlog,0,3,2024-05-30,2024-06-04,4.67
T-0034,Spike,1,Critical,Team A,Testing,3,0,2024-01-21,2024-01-22,1.34
T-0035,Spike,1,Medium,Team A,Backlog,0,5,2024-06-19,2024-06-24,5.11
T-0036,Task,5,Medium,Team A,Testing,0,1,2024-01-26,2024-01-31,4.85
T-0037,Feature,2,Low,Team B,Testing,2,4,2024-02-10,2024-02-18,7.85
T-0038,Feature,5,Low,Team C,In Review,1,1,2024-05-01,2024-05-07,5.56
T-0039,Bug,1,Medium,Team A,In Progress,3,5,2024-02-07,2024-02-14,7.16
T-0040,Bug,2,Medium,Team B,In Progress,1,5,2024-03-28,2024-04-04,6.74
T-0041,Feature,3,High,Team A,In Review,3,4,2024-01-11,2024-01-14,2.97
T-0042,Bug,5,Medium,Team C,In Progress,0,4,2024-01-29,2024-02-04,6.46
T-0043,Feature,2,Medium,Team A,In Progress,2,5,2024-02-29,2024-03-08,7.68
T-0044,Spike,5,Low,Team B,In Progress,2,2,2024-03-01,2024-03-14,13.02
T-0045,Feature,8,High,Team B,In Progress,1,1,2024-05-26,2024-05-31,5.22
T-0046,Bug,5,High,Team B,In Progress,2,1,2024-06-22,2024-06-29,7.25
T-0047,Feature,2,Low,Team B,In Progress,1,2,2024-06-25,2024-07-04,9.45
T-0048,Bug,1,High,Team A,In Progress,1,3,2024-01-22,2024-01-26,3.88
T-0049,Bug,8,Medium,Team A,In Review,3,1,2024-03-18,2024-03-22,4.25
T-0050,Feature,1,Low,Team A,Backlog,1,0,2024-04-22,2024-04-27,4.89
T-0051,Spike,8,Medium,Team A,Testing,3,5,2024-05-02,2024-05-12,9.72
T-0052,Task,3,Medium,Team B,In Progress,2,5,2024-05-21,2024-05-29,8.08
T-0053,Spike,8,Low,Team A,In Review,1,2,2024-02-13,2024-02-18,5.25
T-0054,Task,5,High,Team A,In Progress,1,1,2024-05-23,2024-05-27,4.31
T-0055,Bug,13,High,Team B,In Review,0,3,2024-04-06,2024-04-10,3.72
T-0056,Spike,3,Medium,Team C,Backlog,1,1,2024-03-17,2024-03-23,5.52
T-0057,Feature,5,Medium,Team B,In Review,1,5,2024-05-19,2024-05-25,5.96
T-0058,Feature,3,Medium,Team A,Backlog,0,4,2024-02-24,2024-02-29,4.79
T-0059,Feature,3,Medium,Team A,In Review,0,0,2024-02-20,2024-02-21,0.73
T-0060,Feature,5,Medium,Team C,Testing,2,2,2024-04-11,2024-04-17,5.9
T-0061,Feature,8,Low,Team A,In Progress,1,4,2024-06-15,2024-06-29,13.5
T-0062,Feature,13,Medium,Team A,Backlog,2,3,2024-06-09,2024-06-19,9.75
T-0063,Task,5,High,Team B,In Review,2,4,2024-06-09,2024-06-14,4.65
T-0064,Feature,3,Medium,Team B,In Progress,0,4,2024-01-29,2024-02-07,8.53
T-0065,Feature,3,Low,Team B,In Review,3,3,2024-03-09,2024-03-14,5.17
T-0066,Bug,5,High,Team A,Backlog,2,4,2024-06-07,2024-06-11,3.6
T-0067,Feature,2,Medium,Team A,Backlog,3,2,2024-03-20,2024-03-25,4.98
T-0068,Task,1,Medium,Team C,Testing,1,5,2024-01-31,2024-02-04,3.72
T-0069,Feature,3,Low,Team A,In Progress,0,1,2024-04-21,2024-04-29,7.9
T-0070,Spike,2,Medium,Team B,In Review,1,4,2024-02-15,2024-02-20,5.27
T-0071,Task,2,High,Team B,In Progress,1,2,2024-04-06,2024-04-10,4.18
T-0072,Feature,2,Medium,Team B,In Progress,0,1,2024-02-21,2024-02-28,6.57
T-0073,Feature,1,Medium,Team A,In Progress,1,1,2024-05-17,2024-05-23,6.17
T-0074,Task,1,High,Team A,In Progress,0,4,2024-03-14,2024-03-18,4.44
T-0075,Task,13,High,Team B,In Progress,3,2,2024-02-10,2024-02-22,11.67
T-0076,Task,3,High,Team C,In Progress,1,5,2024-03-17,2024-03-22,5.37
T-0077,Task,3,Medium,Team C,In Progress,0,4,2024-05-10,2024-05-16,6.46
